Field,StrategyOrDate,PRICE_LOWER_LIMIT,TOP_N_COUNT,Value
AggReturn,2019-01-17 00:00:00,1200,12,-0.0234179944303884
AggReturn,2019-01-17 00:00:00,1200,16,-0.0254529242603479
AggReturn,2019-01-17 00:00:00,1200,4,-0.0045478389544179
AggReturn,2019-01-17 00:00:00,1200,8,-0.0060021792809461
AggReturn,2019-01-17 00:00:00,300,12,0.0040320055696822
AggReturn,2019-01-17 00:00:00,300,16,0.0031294827139195
AggReturn,2019-01-17 00:00:00,300,4,0.00958182865726
AggReturn,2019-01-17 00:00:00,300,8,0.0080305986120585
AggReturn,2019-01-17 00:00:00,500,12,0.0005630755163016
AggReturn,2019-01-17 00:00:00,500,16,0.0011357626268249
AggReturn,2019-01-17 00:00:00,500,4,0.0047812609862266
AggReturn,2019-01-17 00:00:00,500,8,0.000408040235578
AggReturn,2019-01-17 00:00:00,800,12,-0.0052841044579083
AggReturn,2019-01-17 00:00:00,800,16,-0.005654344903744
AggReturn,2019-01-17 00:00:00,800,4,-0.0034677103426438
AggReturn,2019-01-17 00:00:00,800,8,-0.0008278629505812
AggReturn,2019-01-18 00:00:00,1200,12,0.0079960659918047
AggReturn,2019-01-18 00:00:00,1200,16,0.0031388236437936
AggReturn,2019-01-18 00:00:00,1200,4,0.017183445410264
AggReturn,2019-01-18 00:00:00,1200,8,0.0257843195714749
AggReturn,2019-01-18 00:00:00,300,12,-6.0746059603978414e-05
AggReturn,2019-01-18 00:00:00,300,16,0.0044624457074311
AggReturn,2019-01-18 00:00:00,300,4,-0.0198930355541467
AggReturn,2019-01-18 00:00:00,300,8,-0.0002599575979416
AggReturn,2019-01-18 00:00:00,500,12,0.0084829240507421
AggReturn,2019-01-18 00:00:00,500,16,0.0103163891837832
AggReturn,2019-01-18 00:00:00,500,4,0.0111634256677576
AggReturn,2019-01-18 00:00:00,500,8,0.0057505513424144
AggReturn,2019-01-18 00:00:00,800,12,0.0162254071934669
AggReturn,2019-01-18 00:00:00,800,16,0.0114327840482638
AggReturn,2019-01-18 00:00:00,800,4,0.0011819168357953
AggReturn,2019-01-18 00:00:00,800,8,0.0088632496967346
AggReturn,2019-01-22 00:00:00,1200,12,-0.0032693458363102
AggReturn,2019-01-22 00:00:00,1200,16,-0.006240713123591
AggReturn,2019-01-22 00:00:00,1200,4,0.0058983533674661
AggReturn,2019-01-22 00:00:00,1200,8,-0.004831699989558
AggReturn,2019-01-22 00:00:00,300,12,0.0037008499195818
AggReturn,2019-01-22 00:00:00,300,16,0.001535873881873
AggReturn,2019-01-22 00:00:00,300,4,0.0124742823082034
AggReturn,2019-01-22 00:00:00,300,8,0.0035240409475607
AggReturn,2019-01-22 00:00:00,500,12,0.001569485400529
AggReturn,2019-01-22 00:00:00,500,16,0.0020419563657783
AggReturn,2019-01-22 00:00:00,500,4,0.0003935341097078
AggReturn,2019-01-22 00:00:00,500,8,0.0022240009866658
AggReturn,2019-01-22 00:00:00,800,12,-0.0034717736062785
AggReturn,2019-01-22 00:00:00,800,16,-0.001097595452889
AggReturn,2019-01-22 00:00:00,800,4,0.0009553674133685
AggReturn,2019-01-22 00:00:00,800,8,0.0020115920347364
AggReturn,2019-01-23 00:00:00,1200,12,-0.0296597379741767
AggReturn,2019-01-23 00:00:00,1200,16,-0.0289278616522571
AggReturn,2019-01-23 00:00:00,1200,4,-0.0239006783182164
AggReturn,2019-01-23 00:00:00,1200,8,-0.0373524502454987
AggReturn,2019-01-23 00:00:00,300,12,-0.0077296025584093
AggReturn,2019-01-23 00:00:00,300,16,-0.0087271379935784
AggReturn,2019-01-23 00:00:00,300,4,-0.0076087477523522
AggReturn,2019-01-23 00:00:00,300,8,-0.0054716651286333
AggReturn,2019-01-23 00:00:00,500,12,-0.0063479556324202
AggReturn,2019-01-23 00:00:00,500,16,-0.0111012940141686
AggReturn,2019-01-23 00:00:00,500,4,0.0013569676115477
AggReturn,2019-01-23 00:00:00,500,8,-0.0054442549032066
AggReturn,2019-01-23 00:00:00,800,12,-0.0236006713862038
AggReturn,2019-01-23 00:00:00,800,16,-0.0271074537807673
AggReturn,2019-01-23 00:00:00,800,4,-0.0124026805134128
AggReturn,2019-01-23 00:00:00,800,8,-0.0136970599901741
AggReturn,2019-01-24 00:00:00,1200,12,-0.0017476281140887
AggReturn,2019-01-24 00:00:00,1200,16,-0.0009796905053119
AggReturn,2019-01-24 00:00:00,1200,4,0.0190198746558867
AggReturn,2019-01-24 00:00:00,1200,8,0.0020289089745457
AggReturn,2019-01-24 00:00:00,300,12,-0.0021742655559311
AggReturn,2019-01-24 00:00:00,300,16,-0.0011943277487125
AggReturn,2019-01-24 00:00:00,300,4,-0.002732000661639
AggReturn,2019-01-24 00:00:00,300,8,-0.0075214528830792
AggReturn,2019-01-24 00:00:00,500,12,0.0043433195448875
AggReturn,2019-01-24 00:00:00,500,16,0.0032841571746711
AggReturn,2019-01-24 00:00:00,500,4,6.460242426301055e-05
AggReturn,2019-01-24 00:00:00,500,8,0.0042923557613139
AggReturn,2019-01-24 00:00:00,800,12,0.0048000050237769
AggReturn,2019-01-24 00:00:00,800,16,0.0008476282202488
AggReturn,2019-01-24 00:00:00,800,4,0.0100026191432243
AggReturn,2019-01-24 00:00:00,800,8,0.0069598007180197
AggReturn,2019-01-25 00:00:00,1200,12,-0.0032523311696581
AggReturn,2019-01-25 00:00:00,1200,16,-0.0017732342393227
AggReturn,2019-01-25 00:00:00,1200,4,0.0025998922882542
AggReturn,2019-01-25 00:00:00,1200,8,0.0087628398236279
AggReturn,2019-01-25 00:00:00,300,12,-0.0003176820811994
AggReturn,2019-01-25 00:00:00,300,16,0.0057512897444829
AggReturn,2019-01-25 00:00:00,300,4,0.0025496474337386
AggReturn,2019-01-25 00:00:00,300,8,-0.0019922014369151
AggReturn,2019-01-25 00:00:00,500,12,0.005740826432495
AggReturn,2019-01-25 00:00:00,500,16,0.0066955113112675
AggReturn,2019-01-25 00:00:00,500,4,-0.0005730630927303
AggReturn,2019-01-25 00:00:00,500,8,0.0012291467687508
AggReturn,2019-01-25 00:00:00,800,12,0.0087782830179512
AggReturn,2019-01-25 00:00:00,800,16,0.006173528364814
AggReturn,2019-01-25 00:00:00,800,4,0.0026751620785743
AggReturn,2019-01-25 00:00:00,800,8,0.0084782986814397
AggReturn,2019-01-28 00:00:00,1200,12,0.0054299755264871
AggReturn,2019-01-28 00:00:00,1200,16,0.0044335375031042
AggReturn,2019-01-28 00:00:00,1200,4,-0.0079276535368198
AggReturn,2019-01-28 00:00:00,1200,8,-0.00344513835971
AggReturn,2019-01-28 00:00:00,300,12,-0.0001103984996907
AggReturn,2019-01-28 00:00:00,300,16,-0.0024272103042611
AggReturn,2019-01-28 00:00:00,300,4,0.006543509248069
AggReturn,2019-01-28 00:00:00,300,8,0.0013208214420336
AggReturn,2019-01-28 00:00:00,500,12,-0.0039309974670351
AggReturn,2019-01-28 00:00:00,500,16,-0.0060881003750185
AggReturn,2019-01-28 00:00:00,500,4,-0.0040604733766327
AggReturn,2019-01-28 00:00:00,500,8,-0.0035166558798862
AggReturn,2019-01-28 00:00:00,800,12,-0.0040669785080139
AggReturn,2019-01-28 00:00:00,800,16,-0.0014080595003756
