Field,StrategyOrDate,REBALANCE_INTERVAL,ESCAPE_WEEKLY_CHANGE_LIMIT,Value
AggReturn,2019-03-15 00:00:00,W,0.2,-0.0124993549168264
AggReturn,2019-03-18 00:00:00,M,0.1,0.0055709452118043
AggReturn,2019-03-18 00:00:00,M,0.2,0.0055709452118043
AggReturn,2019-03-18 00:00:00,W,0.1,0.0078417884551722
AggReturn,2019-03-18 00:00:00,W,0.2,0.0156136156466727
AggReturn,2019-03-19 00:00:00,M,0.1,0.000267893096645
AggReturn,2019-03-19 00:00:00,M,0.2,0.000267893096645
AggReturn,2019-03-19 00:00:00,W,0.1,0.0082498219576584
AggReturn,2019-03-19 00:00:00,W,0.2,-0.0040917775868655
AggReturn,2019-03-20 00:00:00,M,0.1,0.0048132848973689
AggReturn,2019-03-20 00:00:00,M,0.2,0.0048132848973689
AggReturn,2019-03-20 00:00:00,W,0.1,0.0083754724111866
AggReturn,2019-03-20 00:00:00,W,0.2,0.0083754724111866
AggReturn,2019-03-21 00:00:00,M,0.1,9.102350189321706e-05
AggReturn,2019-03-21 00:00:00,M,0.2,9.102350189321706e-05
AggReturn,2019-03-21 00:00:00,W,0.1,-0.0087544049039828
AggReturn,2019-03-21 00:00:00,W,0.2,-0.0087544049039828
AggReturn,2019-03-22 00:00:00,M,0.1,0.0166539900569612
AggReturn,2019-03-22 00:00:00,M,0.2,0.0166539900569612
AggReturn,2019-03-22 00:00:00,W,0.1,0.0249953791972292
AggReturn,2019-03-22 00:00:00,W,0.2,0.0249953791972292
AggReturn,2019-03-25 00:00:00,M,0.1,0.0093270346553134
AggReturn,2019-03-25 00:00:00,M,0.2,0.0093270346553134
AggReturn,2019-03-25 00:00:00,W,0.1,-0.0267617898853968
AggReturn,2019-03-25 00:00:00,W,0.2,-0.0267617898853968
AggReturn,2019-03-26 00:00:00,M,0.1,0.0180381062865169
AggReturn,2019-03-26 00:00:00,M,0.2,0.0180381062865169
AggReturn,2019-03-26 00:00:00,W,0.1,0.0055735164033562
AggReturn,2019-03-26 00:00:00,W,0.2,0.0055735164033562
AggReturn,2019-03-27 00:00:00,M,0.1,0.0088250310523287
AggReturn,2019-03-27 00:00:00,M,0.2,0.0088250310523287
AggReturn,2019-03-27 00:00:00,W,0.1,0.0048788903805153
AggReturn,2019-03-27 00:00:00,W,0.2,0.0048788903805153
AggReturn,2019-03-28 00:00:00,M,0.1,0.0044602675764993
AggReturn,2019-03-28 00:00:00,M,0.2,0.0044602675764993
AggReturn,2019-03-28 00:00:00,W,0.1,0.0055270377961077
AggReturn,2019-03-28 00:00:00,W,0.2,0.0055270377961077
AggReturn,2019-03-29 00:00:00,M,0.1,0.0045891256081331
AggReturn,2019-03-29 00:00:00,M,0.2,0.0045891256081331
AggReturn,2019-03-29 00:00:00,W,0.1,0.0066313697023042
AggReturn,2019-03-29 00:00:00,W,0.2,0.0066313697023042
AggReturn,2019-04-01 00:00:00,M,0.1,-0.0012812256634201
AggReturn,2019-04-01 00:00:00,M,0.2,-0.0012812256634201
AggReturn,2019-04-01 00:00:00,W,0.1,0.0152523399699527
AggReturn,2019-04-01 00:00:00,W,0.2,0.0152523399699527
AggReturn,2019-04-02 00:00:00,M,0.1,0.0016036599509308
AggReturn,2019-04-02 00:00:00,M,0.2,0.0016036599509308
AggReturn,2019-04-02 00:00:00,W,0.1,0.0007432973823164
AggReturn,2019-04-02 00:00:00,W,0.2,0.0007432973823164
AggReturn,2019-04-03 00:00:00,M,0.1,0.008407018320405
AggReturn,2019-04-03 00:00:00,M,0.2,0.008407018320405
AggReturn,2019-04-03 00:00:00,W,0.1,0.008407018320405
AggReturn,2019-04-03 00:00:00,W,0.2,0.008407018320405
AggReturn,2019-04-04 00:00:00,M,0.1,-0.003088828771706
AggReturn,2019-04-04 00:00:00,M,0.2,-0.003088828771706
AggReturn,2019-04-04 00:00:00,W,0.1,-0.003088828771706
AggReturn,2019-04-04 00:00:00,W,0.2,-0.003088828771706
AggReturn,2019-04-05 00:00:00,M,0.1,0.0026769509831265
AggReturn,2019-04-05 00:00:00,M,0.2,0.0026769509831265
AggReturn,2019-04-05 00:00:00,W,0.1,0.0026769509831265
AggReturn,2019-04-05 00:00:00,W,0.2,0.0026769509831265
AggReturn,2019-04-08 00:00:00,M,0.1,0.0045459232560562
AggReturn,2019-04-08 00:00:00,M,0.2,0.0045459232560562
AggReturn,2019-04-08 00:00:00,W,0.1,0.0045459232560562
AggReturn,2019-04-08 00:00:00,W,0.2,0.0045459232560562
AggReturn,2019-04-09 00:00:00,M,0.1,0.007370394443927
AggReturn,2019-04-09 00:00:00,M,0.2,0.007370394443927
AggReturn,2019-04-09 00:00:00,W,0.1,0.007370394443927
AggReturn,2019-04-09 00:00:00,W,0.2,0.007370394443927
AggReturn,2019-04-10 00:00:00,M,0.1,0.0131853117345333
AggReturn,2019-04-10 00:00:00,M,0.2,0.0131853117345333
AggReturn,2019-04-10 00:00:00,W,0.1,0.0131853117345333
AggReturn,2019-04-10 00:00:00,W,0.2,0.0131853117345333
AggReturn,2019-04-11 00:00:00,M,0.1,-0.0005272769827429
AggReturn,2019-04-11 00:00:00,M,0.2,-0.0005272769827429
AggReturn,2019-04-11 00:00:00,W,0.1,-0.0005272769827429
AggReturn,2019-04-11 00:00:00,W,0.2,-0.0005272769827429
AggReturn,2019-04-12 00:00:00,M,0.1,0.0064526360019328
AggReturn,2019-04-12 00:00:00,M,0.2,0.0064526360019328
AggReturn,2019-04-12 00:00:00,W,0.1,0.0064526360019328
AggReturn,2019-04-12 00:00:00,W,0.2,0.0064526360019328
AggReturn,2019-04-15 00:00:00,M,0.1,-0.0133513673596851
AggReturn,2019-04-15 00:00:00,M,0.2,-0.0133513673596851
AggReturn,2019-04-15 00:00:00,W,0.1,-0.0133513673596851
AggReturn,2019-04-15 00:00:00,W,0.2,-0.0133513673596851
AggReturn,2019-04-16 00:00:00,M,0.1,0.0020343723954766
AggReturn,2019-04-16 00:00:00,M,0.2,0.0020343723954766
AggReturn,2019-04-16 00:00:00,W,0.1,0.0020309331547081
AggReturn,2019-04-16 00:00:00,W,0.2,0.0020309331547081
AggReturn,2019-04-17 00:00:00,M,0.1,-0.0078121052083044
AggReturn,2019-04-17 00:00:00,M,0.2,-0.0078121052083044
AggReturn,2019-04-17 00:00:00,W,0.1,-0.0133026455917746
AggReturn,2019-04-17 00:00:00,W,0.2,-0.0133026455917746
AggReturn,2019-04-18 00:00:00,M,0.1,-0.009313856822492
AggReturn,2019-04-18 00:00:00,M,0.2,-0.009313856822492
AggReturn,2019-04-18 00:00:00,W,0.1,-0.0154677163248768
AggReturn,2019-04-18 00:00:00,W,0.2,-0.0154677163248768
AggReturn,2019-04-22 00:00:00,M,0.1,-0.0005997084568962
AggReturn,2019-04-22 00:00:00,M,0.2,-0.0005997084568962
AggReturn,2019-04-22 00:00:00,W,0.1,0.0023282873101662
AggReturn,2019-04-22 00:00:00,W,0.2,0.0023282873101662
AggReturn,2019-04-23 00:00:00,M,0.1,-0.0042217993751001
AggReturn,2019-04-23 00:00:00,M,0.2,-0.0042217993751001
AggReturn,2019-04-23 00:00:00,W,0.1,-0.0074361410699808
AggReturn,2019-04-23 00:00:00,W,0.2,-0.0074361410699808
AggReturn,2019-04-24 00:00:00,M,0.1,0.0054911434644087
AggReturn,2019-04-24 00:00:00,M,0.2,0.0054911434644087
AggReturn,2019-04-24 00:00:00,W,0.1,0.0047620632870543
AggReturn,2019-04-24 00:00:00,W,0.2,0.0047620632870543
AggReturn,2019-04-25 00:00:00,M,0.1,0.0001747306381322
AggReturn,2019-04-25 00:00:00,M,0.2,0.0001747306381322
AggReturn,2019-04-25 00:00:00,W,0.1,-0.0053657009665447
AggReturn,2019-04-25 00:00:00,W,0.2,-0.0053657009665447
AggReturn,2019-04-26 00:00:00,M,0.1,-0.0008717415771073
AggReturn,2019-04-26 00:00:00,M,0.2,-0.0008717415771073
AggReturn,2019-04-26 00:00:00,W,0.1,-0.0126710549689472
AggReturn,2019-04-26 00:00:00,W,0.2,-0.0126710549689472
AggReturn,2019-04-29 00:00:00,M,0.1,0.0042956959242247
AggReturn,2019-04-29 00:00:00,M,0.2,0.0042956959242247
AggReturn,2019-04-29 00:00:00,W,0.1,-0.006304677237809
AggReturn,2019-04-29 00:00:00,W,0.2,-0.006304677237809
AggReturn,2019-04-30 00:00:00,M,0.1,0.0002279358979649
AggReturn,2019-04-30 00:00:00,M,0.2,0.0002279358979649
AggReturn,2019-04-30 00:00:00,W,0.1,-0.0079597914440848
AggReturn,2019-04-30 00:00:00,W,0.2,-0.0079597914440848
AggReturn,2019-05-01 00:00:00,M,0.1,0.0066776510490776
AggReturn,2019-05-01 00:00:00,M,0.2,0.0066770598728929
AggReturn,2019-05-01 00:00:00,W,0.1,-0.0011096861682673
AggReturn,2019-05-01 00:00:00,W,0.2,-0.0011096861682673
AggReturn,2019-05-02 00:00:00,M,0.1,-0.0094089807046788
AggReturn,2019-05-02 00:00:00,M,0.2,-0.0002725112501741
AggReturn,2019-05-02 00:00:00,W,0.1,-0.0002725112501741
AggReturn,2019-05-02 00:00:00,W,0.2,-0.0002725112501741
AggReturn,2019-05-03 00:00:00,M,0.1,0.0148034945369688
AggReturn,2019-05-03 00:00:00,M,0.2,0.005653148814649
AggReturn,2019-05-03 00:00:00,W,0.1,0.005653148814649
AggReturn,2019-05-03 00:00:00,W,0.2,0.005653148814649
AggReturn,2019-05-06 00:00:00,M,0.1,-0.0010433419608492
AggReturn,2019-05-06 00:00:00,M,0.2,-0.0021878373273278
AggReturn,2019-05-06 00:00:00,W,0.1,-0.0021878373273278
AggReturn,2019-05-06 00:00:00,W,0.2,-0.0021878373273278
AggReturn,2019-05-07 00:00:00,M,0.1,0.0033139042158275
AggReturn,2019-05-07 00:00:00,M,0.2,0.0008643217792559
AggReturn,2019-05-07 00:00:00,W,0.1,0.0008643217792559
AggReturn,2019-05-07 00:00:00,W,0.2,0.0008643217792559
AggReturn,2019-05-08 00:00:00,M,0.1,-0.0043802127187495
AggReturn,2019-05-08 00:00:00,M,0.2,-0.0044967217113965
AggReturn,2019-05-08 00:00:00,W,0.1,-0.0044967217113965
AggReturn,2019-05-08 00:00:00,W,0.2,-0.0044967217113965
AggReturn,2019-05-09 00:00:00,M,0.1,-0.0047937671536478
AggReturn,2019-05-09 00:00:00,M,0.2,-0.0046658385711411
AggReturn,2019-05-09 00:00:00,W,0.1,-0.0046658385711411
AggReturn,2019-05-09 00:00:00,W,0.2,-0.0046658385711411
AggReturn,2019-05-10 00:00:00,M,0.1,0.0033330468000079
AggReturn,2019-05-10 00:00:00,M,0.2,0.0010405564000642
AggReturn,2019-05-10 00:00:00,W,0.1,0.0010405564000642
AggReturn,2019-05-10 00:00:00,W,0.2,0.0010405564000642
AggReturn,2019-05-13 00:00:00,M,0.1,-0.011772808343315
AggReturn,2019-05-13 00:00:00,M,0.2,-0.0030637264308556
AggReturn,2019-05-13 00:00:00,W,0.1,-0.0030637264308556
AggReturn,2019-05-13 00:00:00,W,0.2,-0.0030637264308556
AggReturn,2019-05-14 00:00:00,M,0.1,-0.0022012329279305
AggReturn,2019-05-14 00:00:00,M,0.2,-0.0071031056108959
AggReturn,2019-05-14 00:00:00,W,0.1,-0.0071072500676042
AggReturn,2019-05-14 00:00:00,W,0.2,-0.0071072500676042
AggReturn,2019-05-15 00:00:00,M,0.1,0.0105517194278488
AggReturn,2019-05-15 00:00:00,M,0.2,0.0233826720559946
AggReturn,2019-05-15 00:00:00,W,0.1,0.0011541930763832
AggReturn,2019-05-15 00:00:00,W,0.2,0.0011541930763832
AggReturn,2019-05-16 00:00:00,M,0.1,0.001321138389058
AggReturn,2019-05-16 00:00:00,M,0.2,0.0073185791725419
AggReturn,2019-05-16 00:00:00,W,0.1,0.0057887164475695
AggReturn,2019-05-16 00:00:00,W,0.2,0.0057887164475695
AggReturn,2019-05-17 00:00:00,M,0.1,0.0033799912018748
AggReturn,2019-05-17 00:00:00,M,0.2,0.0064607736711952
AggReturn,2019-05-17 00:00:00,W,0.1,0.0046134830878789
AggReturn,2019-05-17 00:00:00,W,0.2,0.0046134830878789
AggReturn,2019-05-20 00:00:00,M,0.1,0.0095789679638865
AggReturn,2019-05-20 00:00:00,M,0.2,0.0154058094405775
