Field,StrategyOrDate,PRICE_LOWER_LIMIT,TOP_N_COUNT,Value
AggReturn,2019-01-22 00:00:00,500,8,0.006545703537314
AggReturn,2019-01-22 00:00:00,800,12,-0.0016425318999384
AggReturn,2019-01-22 00:00:00,800,16,0.0007479178214157
AggReturn,2019-01-22 00:00:00,800,2,0.0309971234676945
AggReturn,2019-01-22 00:00:00,800,4,0.0054858560245644
AggReturn,2019-01-22 00:00:00,800,8,0.0029945790430928
AggReturn,2019-01-23 00:00:00,1200,12,-0.0061739881169852
AggReturn,2019-01-23 00:00:00,1200,16,-0.0129122494616942
AggReturn,2019-01-23 00:00:00,1200,2,0.0162180982931611
AggReturn,2019-01-23 00:00:00,1200,4,0.001172336407112
AggReturn,2019-01-23 00:00:00,1200,8,-0.0064702844132815
AggReturn,2019-01-23 00:00:00,500,12,0.0078055348320432
AggReturn,2019-01-23 00:00:00,500,16,0.0001197916468222
AggReturn,2019-01-23 00:00:00,500,2,0.0340880811631128
AggReturn,2019-01-23 00:00:00,500,4,0.0232656093443155
AggReturn,2019-01-23 00:00:00,500,8,0.0037368782129551
AggReturn,2019-01-23 00:00:00,800,12,0.0035938865052614
AggReturn,2019-01-23 00:00:00,800,16,-0.0051603222489472
AggReturn,2019-01-23 00:00:00,800,2,0.017458950730028
AggReturn,2019-01-23 00:00:00,800,4,0.0241862768080106
AggReturn,2019-01-23 00:00:00,800,8,0.0097750489707818
AggReturn,2019-01-24 00:00:00,1200,12,-0.0001450223295158
AggReturn,2019-01-24 00:00:00,1200,16,0.00061764368077
AggReturn,2019-01-24 00:00:00,1200,2,-0.0187452261569933
AggReturn,2019-01-24 00:00:00,1200,4,0.0041218934508733
AggReturn,2019-01-24 00:00:00,1200,8,0.0043493180621179
AggReturn,2019-01-24 00:00:00,500,12,0.0090057658213708
AggReturn,2019-01-24 00:00:00,500,16,0.0113391242980331
AggReturn,2019-01-24 00:00:00,500,2,-0.0225942781547547
AggReturn,2019-01-24 00:00:00,500,4,-0.0070599654956508
AggReturn,2019-01-24 00:00:00,500,8,0.0028808853233092
AggReturn,2019-01-24 00:00:00,800,12,0.0054929403635737
